物种,来源,工厂,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药表型,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,耐药基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,毒力基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,管家基因,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,生化鉴定,RAPD分组,RAPD分组,RAPD分组,RAPD分组,生物被膜形成能力,生物被膜形成能力,生物被膜形成能力,血清分型,CC,ST型别,spa型别
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,-,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,-,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,-,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,-,/,/,-,/,-,-,-,+,/,/,/,/,/,/,/,-,/,/,/,/,/,/,/,-,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,-,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,-,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,-,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,-,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,+,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,+,+,+,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,肯塔基,/,ST198,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,+,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,+,+,+,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,肯塔基,/,ST198,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,+,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,+,+,+,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,肯塔基,/,ST198,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,+,+,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,肯塔基,/,ST198,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,肯塔基,/,ST198,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,肯塔基,/,ST198,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,-,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,-,/,/,-,/,+,+,-,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,-,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,-,/,/,-,/,+,+,-,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,-,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,里森,/,ST469,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,-,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,鼠伤寒,/,ST34,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,-,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,伦敦,/,ST155,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,+,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,伦敦,/,ST155,/
Salmonella,,山东省临沂市,/,/,/,/,+,/,/,-,/,+,+,+,+,/,/,/,/,/,/,/,+,/,/,/,/,/,/,/,+,-,+,-,-,+,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,伦敦,/,ST155,/
